year,inflation
1980,0.09397590361445785
1981,0.1409691629955947
1982,0.10617760617760608
1983,0.054101221640488584
1984,0.039735099337748325
1985,0.031847133757961776
1986,0.029320987654321007
1987,0.02998500749625177
1988,0.0363901018922852
1989,0.04494382022471921
1990,0.053763440860215006
1991,0.05357142857142838
1992,0.026634382566586012
1993,0.03537735849056611
1994,0.019362186788154823
1995,0.02346368715083802
1996,0.008733624454148492
1997,0.007575757575757347
1998,0.003222341568206444
1999,0.010706638115631772
2000,0.018008474576270972
2001,0.01664932362122795
2002,0.023541453428863823
2003,0.02200000000000002
2004,0.019569471624266255
2005,0.020153550863723613
2006,0.016933207902163572
2007,0.01757631822386685
2008,0.020909090909090988
2009,0.0
2010,0.013357079252003468
2011,0.023725834797891032
2012,0.011158798283261717
2013,-0.000848896434634927
2014,0.010195412064570863
2015,0.010933557611438216
2016,0.01830282861896837
2017,0.0212418300653594
2018,0.027200000000000113
2019,0.02336448598130847
2020,0.007610350076103556
2021,0.027945619335347338
2022,0.06906686260102868
2023,0.039175257731958624
2024,0.02645502645502651
2025,0.02126288659793829
